Macro-attribut;Chemin;Cas de test ;R‚sultat;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.id_metier]=nte!CMD&instance=VALEUR_REFERENCE;00126;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=type_contact.id_metier&instance=VALEUR_REFERENCE;00127;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=-type_contact.id_metier&instance=VALEUR_REFERENCE;00128;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=ega!Commande&instance=VALEUR_REFERENCE;00129;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=neg!Commande&instance=VALEUR_REFERENCE;00130;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=com!Com&instance=VALEUR_REFERENCE;00131;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=nco!Com&instance=VALEUR_REFERENCE;00132;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=con!mma&instance=VALEUR_REFERENCE;00133;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=ncn!mma&instance=VALEUR_REFERENCE;00134;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=ter!nde&instance=VALEUR_REFERENCE;00135;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.libelle]=nte!nde&instance=VALEUR_REFERENCE;00136;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=type_contact.libelle&instance=VALEUR_REFERENCE;00137;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=-type_contact.libelle&instance=VALEUR_REFERENCE;00138;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.actif]=ega!true&instance=VALEUR_REFERENCE;00139;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.actif]=neg!false&instance=VALEUR_REFERENCE;00140;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.actif]=ega!false&instance=VALEUR_REFERENCE;00141;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.actif]=neg!true&instance=VALEUR_REFERENCE;00142;OK;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00143;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00144;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00145;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00146;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00147;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_debut_validite]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00148;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=type_contact.date_debut_validite&instance=VALEUR_REFERENCE;00149;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=-type_contact.date_debut_validite&instance=VALEUR_REFERENCE;00150;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite]=ega!null&instance=VALEUR_REFERENCE;00151;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite]=neg!null&instance=VALEUR_REFERENCE;00152;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite=sup!null&instance=VALEUR_REFERENCE;00153;KO;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite]=sue!null&instance=VALEUR_REFERENCE;00154;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite]=inf!null&instance=VALEUR_REFERENCE;00155;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_fin_validite]=ine!null&instance=VALEUR_REFERENCE;00156;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=type_contact.date_fin_validite&instance=VALEUR_REFERENCE;00157;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=-type_contact.date_fin_validite&instance=VALEUR_REFERENCE;00158;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation]=ega!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00159;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation]=neg!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00160;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation=sup!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00161;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation]=sue!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00162;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation]=inf!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00163;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&filter[type_contact.date_creation]=ine!2017-06-09T00:00:00Z&instance=VALEUR_REFERENCE;00164;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=type_contact.date_creation&instance=VALEUR_REFERENCE;00165;;;;;;;
type_contact;/referentiel/codification-backend/codifications?include=type_contact&sort=-type_contact.date_creation&instance=VALEUR_REFERENCE;00166;;;;;;;
